movement_id,country_iso3,movement_years,treated_years,treated_obs,developmentalism_alignments,alignment_score,treatment_value_mean,treatment_value_max,rent_mean_treated_years,rent_max_treated_years,resource_country_fallback_years,doctrine_clue,policies_count,outcome_hypotheses_count,confidence_risk_notes,movement_file
australia_abbott_lnp_2013_2015,AUS,2013-2015,2013,1,developmentalism:aligned,1,1.000,1.000,5.32,5.32,0,"Coalition fiscal-conservative repeal-and-consolidate programme centred on carbon and mining-tax repeal, border enforcement, and ambitious 2014...",5,2,resource doctrine explicit,movements/australia_abbott_lnp_2013_2015.yaml
bolivia_mesa_2003_2005,BOL,2003-2005,2003-2005,3,developmentalism:partially_aligned,0.5,0.500,0.500,8.10,11.55,0,Caretaker non-partisan government navigating post-Gas-War legitimacy vacuum via hydrocarbon-referendum democracy and eventual forced resignati...,4,2,partial developmentalism alignment; resource doctrine explicit,movements/bolivia_mesa_2003_2005.yaml
bolivia_mas_extractivist_2006_2019,BOL,2006-2019,2006-2014;2017-2018,11,developmentalism:aligned,1,1.000,1.000,10.66,14.63,0,Self-described 'Andean-Amazonian capitalism' and 'communitarian socialism': nationalisation of hydrocarbons via Supreme Decree 28701 of May 20...,5,2,resource link mainly WDI-threshold driven,movements/bolivia_mas_extractivist_2006_2019.yaml
bolivia_arce_mas_2020_present,BOL,2020-2026,2021-2026,6,developmentalism:aligned,1,1.000,1.000,9.47,9.47,5,Return of the Morales-era finance minister and self-described architect of the 'Modelo Economico Social Comunitario Productivo' to the preside...,4,0,5/6 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/bolivia_arce_mas_2020_present.yaml
brazil_bolsonaro_pl_2019_2022,BRA,2019-2022,2021,1,developmentalism:aligned,1,1.000,1.000,7.94,7.94,0,Right-populist government pairing culture-war / law-and-order / anti-establishment framing with a Chicago-trained liberal-orthodox economic te...,6,4,resource link mainly WDI-threshold driven,movements/brazil_bolsonaro_pl_2019_2022.yaml
canada_trudeau_pet_liberal_1980_1984,CAN,1980-1984,1980-1981,2,developmentalism:partially_aligned,0.5,0.500,0.500,7.44,9.05,0,Interventionist-nationalist Liberal programme after the 1980 defeat of Joe Clark's minority PC government. Three doctrinal pillars: (1) energy...,4,2,partial developmentalism alignment; resource doctrine explicit,movements/canada_trudeau_pet_liberal_1980_1984.yaml
china_hua_guofeng_transition_1976_1978,CHN,1976-1978,1976-1978,3,developmentalism:partially_aligned,0.5,0.667,1.000,10.01,11.21,0,"Post-Mao orthodox-continuity CCP governance under the 'Two Whatevers' doctrine ('whatever Mao decided, we uphold; whatever Mao instructed, we...",3,0,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/china_hua_guofeng_transition_1976_1978.yaml
deng_xiaoping_reforms_1978,CHN,1978-2012,1978-1992;2005-2008;2010-2011,21,developmentalism:aligned,1,1.000,1.000,9.68,19.74,0,"Phased market reforms while retaining CCP political monopoly. Rural household responsibility system 1978-1983; SEZs from 1980 (Shenzhen, Zhuha...",5,1,long umbrella window; resource link mainly WDI-threshold driven,movements/deng_xiaoping_reforms_1978.yaml
china_jiang_era_1989_2002,CHN,1989-2002,1989-1992,4,developmentalism:aligned,1,1.000,1.000,6.78,8.64,0,"Jiang-Zhu market-transition programme consolidating Deng's 'reform and opening' into a rule-based, centrally-financed state-capitalist model....",7,2,resource link mainly WDI-threshold driven,movements/china_jiang_era_1989_2002.yaml
china_tiananmen_austerity_1989_1992,CHN,1989-1992,1989-1992,4,developmentalism:aligned,1,1.000,1.000,6.78,8.64,0,"Post-Tiananmen retrenchment doctrine followed by Deng's Southern- Tour reset. Economic school: planned-economy conservatives (Chen Yun, Yao Yi...",5,0,resource link mainly WDI-threshold driven,movements/china_tiananmen_austerity_1989_1992.yaml
china_hu_era_2002_2012,CHN,2002-2012,2005-2008;2010-2011,6,developmentalism:aligned,1,1.000,1.000,6.76,9.65,0,Hu-Wen 'harmonious society' () + 'scientific development concept' a statist-reformist settlement layering distributional corrections and rural...,7,3,resource doctrine explicit,movements/china_hu_era_2002_2012.yaml
china_wto_accession_2001,CHN,2001-2015,2005-2008;2010-2011,6,developmentalism:aligned,1,1.000,1.000,6.76,9.65,0,"Commit to tariff reductions, market access, IP protection, and trading- rights reforms in exchange for MFN access to WTO member markets. Locke...",3,2,resource link mainly WDI-threshold driven,movements/china_wto_accession_2001.yaml
china_xi_era_2012_present,CHN,2012-2026,2022-2026,5,developmentalism:aligned,1,1.000,1.000,,,5,Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era codified in the CCP constitution (2017) and state constitution (201...,8,2,5/5 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/china_xi_era_2012_present.yaml
cote_divoire_houphouet_export_developmental_state_1960_1993,CIV,1960-1993,1970-1977;1982-1984,11,developmentalism:aligned,1,1.000,1.000,5.96,7.46,0,"Houphouet-Boigny's post-independence governing model pursued rapid growth through agricultural exports, political stability, openness to Frenc...",3,0,long umbrella window; resource link mainly WDI-threshold driven,movements/cote_divoire_houphouet_export_developmental_state_1960_1993.yaml
zaire_mobutu_mpr_1965_1997,COD,1965-1997,1965-1997,33,developmentalism:partially_aligned,0.5,0.500,0.500,14.74,36.30,5,"Mobutu's Zairean state presented itself as a nationalist, anti-fragmentation project that would restore order after the Congo crisis, assert a...",3,0,partial developmentalism alignment; 5/33 treated years use resource-country fallback; long umbrella window; resource doctrine explicit,movements/zaire_mobutu_mpr_1965_1997.yaml
algeria_fln_socialist_developmental_state_1962_1978,DZA,1962-1978,1962-1978,17,developmentalism:aligned,1,1.000,1.000,17.70,28.48,8,"Algeria's post-independence FLN state sought to convert anti-colonial sovereignty into economic sovereignty through socialist planning, state...",3,0,8/17 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/algeria_fln_socialist_developmental_state_1962_1978.yaml
ecuador_correa_alianza_pais_i_2007_2013,ECU,2007-2013,2007-2013,7,developmentalism:aligned,1,1.000,1.000,14.41,18.96,0,Correa I launched 'Revolucion Ciudadana' 21st-century socialism with institutional rewrite + resource nationalism as pillars. (a) Economic sch...,5,2,resource doctrine explicit,movements/ecuador_correa_alianza_pais_i_2007_2013.yaml
ecuador_correa_21st_century_socialism_2007_2017,ECU,2007-2017,2007-2014,8,developmentalism:aligned,1,1.000,1.000,14.06,18.96,0,Self-described 'socialism of the 21st century' executed under the binding constraint of an already-dollarised monetary regime that the governm...,6,2,resource doctrine explicit,movements/ecuador_correa_21st_century_socialism_2007_2017.yaml
ecuador_correa_alianza_pais_ii_2013_2017,ECU,2013-2017,2013-2014,2,developmentalism:aligned,1,1.000,1.000,12.24,12.88,0,Correa II consolidated statist-developmentalism against a worsening terms-of-trade backdrop. (a) Economic school: Bolivarian developmentalism...,5,2,resource doctrine explicit,movements/ecuador_correa_alianza_pais_ii_2013_2017.yaml
egypt_sadat_infitah_1976_1981,EGY,1976-1981,1976-1981,6,developmentalism:aligned,1,1.000,1.000,21.48,32.51,0,"Sadat-era Infitah ( 'Opening') reversed Nasserist Arab socialism toward a mixed economy with foreign investment, private-sector revival, and W...",4,0,mechanical/derived alignment; resource link mainly WDI-threshold driven,movements/egypt_sadat_infitah_1976_1981.yaml
egypt_mubarak_early_era_1981_1991,EGY,1981-1991,1981-1991,11,developmentalism:partially_aligned,0.5,0.545,1.000,17.15,28.51,0,"Mubarak's first decade combined (a) political retrenchment under Emergency Law after Sadat's assassination, (b) gradual, largely failed, IMF-g...",4,0,partial developmentalism alignment; mechanical/derived alignment; resource link mainly WDI-threshold driven,movements/egypt_mubarak_early_era_1981_1991.yaml
egypt_scaf_transition_2011_2012,EGY,2011-2012,2011-2012,2,developmentalism:partially_aligned,0.5,0.750,1.000,11.54,12.34,0,Military-transitional stewardship interim rule preserving economic status quo while managing sterling FX reserve drain and negotiating transit...,3,1,partial developmentalism alignment; resource doctrine explicit,movements/egypt_scaf_transition_2011_2012.yaml
egypt_morsi_muslim_brotherhood_2012_2013,EGY,2012-2013,2012-2013,2,developmentalism:aligned,1,1.000,1.000,10.26,10.75,0,Brief Muslim Brotherhood Freedom and Justice Party presidency attempting a hybrid Islamist-conservative economic line: nominal commitment to m...,4,0,mechanical/derived alignment; resource link mainly WDI-threshold driven,movements/egypt_morsi_muslim_brotherhood_2012_2013.yaml
egypt_sisi_austerity_2016_present,EGY,2016-2026,2017-2019;2021-2026,9,developmentalism:partially_aligned,0.5,0.944,1.000,6.04,7.60,5,Three overlapping IMF programmes anchor the era: the 2016 $12bn Extended Fund Facility (floated the Egyptian pound from ~8.8 to ~18 per USD in...,6,1,partial developmentalism alignment; 5/9 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/egypt_sisi_austerity_2016_present.yaml
egypt_sisi_second_term_2018_2024,EGY,2018-2024,2018-2019;2021-2024,6,developmentalism:aligned,1,1.000,1.000,6.15,7.60,3,Second-term consolidation of military-sovereign-directed capitalism built around three pillars: the April 2019 constitutional amendment (88.83...,7,0,mechanical/derived alignment; 3/6 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/egypt_sisi_second_term_2018_2024.yaml
egypt_sisi_third_term_2024_present,EGY,2024-2026,2024-2026,3,developmentalism:partially_aligned,0.5,1.000,1.000,,,3,Third-term continuity of military-sovereign-directed capitalism fused with an accelerated foreign-capital reliance strategy. The governing lin...,5,0,partial developmentalism alignment; mechanical/derived alignment; 3/3 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/egypt_sisi_third_term_2024_present.yaml
ethiopia_eprdf_developmental_state_1991_2018,ETH,1991-2018,1991-2018,28,developmentalism:aligned,1,1.000,1.000,19.31,36.14,0,"After ousting the Derg in 1991, the EPRDF pursued a self-described 'democratic developmental state' doctrine explicitly articulated by Meles Z...",5,1,long umbrella window; resource link mainly WDI-threshold driven,movements/ethiopia_eprdf_developmental_state_1991_2018.yaml
ethiopia_meles_late_era_2005_2012,ETH,2005-2012,2005-2012,8,developmentalism:aligned,1,1.000,1.000,18.45,23.49,0,The late Meles era crystallised Ethiopia's 'democratic developmental state' doctrine. Economic school: developmental-state ADLI (Agricultural...,5,1,resource link mainly WDI-threshold driven,movements/ethiopia_meles_late_era_2005_2012.yaml
ethiopia_hailemariam_eprdf_2012_2018,ETH,2012-2018,2012-2018,7,developmentalism:aligned,1,1.000,1.000,11.71,14.93,0,Hailemariam assumed the premiership as caretaker after Meles Zenawi's death in Aug 2012 and was charged with executing the developmental-state...,4,1,resource link mainly WDI-threshold driven,movements/ethiopia_hailemariam_eprdf_2012_2018.yaml
ethiopia_abiy_prosperity_2018_present,ETH,2018-2026,2018-2026,9,developmentalism:partially_aligned,0.5,0.556,1.000,5.81,6.37,5,Abiy's era combines reformist-liberalising economic doctrine with acute political and military rupture. Economic school: Homegrown Economic Re...,8,1,partial developmentalism alignment; 5/9 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/ethiopia_abiy_prosperity_2018_present.yaml
ghana_mahama_ndc_second_2025_present,GHA,2025-2026,2025-2026,2,developmentalism:partially_aligned,0.5,0.500,0.500,,,2,"Mahama returned to office after 2024 landslide against the NPP, inheriting an IMF Extended Credit Facility programme (signed May 2023 after th...",4,0,partial developmentalism alignment; 2/2 treated years use resource-country fallback; resource doctrine explicit,movements/ghana_mahama_ndc_second_2025_present.yaml
indonesia_suharto_new_order_1965_1998,IDN,1966-1998,1966-1969;1973-1998,30,developmentalism:aligned,1,1.000,1.000,13.33,34.92,4,Authoritarian developmentalist regime that followed the 1965-66 mass killings and displacement of Sukarno. Economic management delegated to th...,6,2,4/30 treated years use resource-country fallback; long umbrella window; resource doctrine explicit,movements/indonesia_suharto_new_order_1965_1998.yaml
indonesia_suharto_oil_boom_1976_1985,IDN,1976-1985,1976-1985,10,developmentalism:aligned,1,1.000,1.000,18.65,34.92,0,New Order middle-phase Suharto doctrine blending Berkeley-Mafia macroeconomic orthodoxy with rising resource-nationalist overlay under 'Pancas...,7,0,resource doctrine explicit,movements/indonesia_suharto_oil_boom_1976_1985.yaml
indonesia_suharto_deregulation_paket_1988_1996,IDN,1988-1996,1988-1996,9,developmentalism:aligned,1,1.000,1.000,8.48,13.27,0,Technocrat-led deregulation paket era under Suharto sequence of reform 'packages' aimed at post-oil-bust export diversification. Economic scho...,5,0,resource doctrine explicit,movements/indonesia_suharto_deregulation_paket_1988_1996.yaml
indonesia_megawati_pdip_2001_2004,IDN,2001-2004,2001-2004,4,developmentalism:partially_aligned,0.5,0.500,0.500,8.21,9.29,0,"PDI-P secular-nationalist stabilisation plus IMF-exit and decentralisation implementation Megawati, daughter of founding president Sukarno, fr...",6,0,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/indonesia_megawati_pdip_2001_2004.yaml
indonesia_jokowi_pdip_2014_2024,IDN,2014-2024,2021-2024,4,developmentalism:aligned,1,1.000,1.000,5.16,5.16,3,"Developmentalist infrastructure-push presidency combining public- works acceleration, resource-downstreaming nationalism, and a progressive co...",7,3,3/4 treated years use resource-country fallback; resource doctrine explicit,movements/indonesia_jokowi_pdip_2014_2024.yaml
indonesia_prabowo_2024_present,IDN,2024-2026,2024-2026,3,developmentalism:aligned,1,1.000,1.000,,,3,Populist-nationalist economic-statism that folds Jokowi's downstreaming-and-infrastructure programme into a larger state- capitalist consolida...,4,2,3/3 treated years use resource-country fallback; resource doctrine explicit,movements/indonesia_prabowo_2024_present.yaml
india_manmohan_singh_upa_i_2004_2009,IND,2004-2009,2008,1,developmentalism:partially_aligned,0.5,0.500,0.500,7.11,7.11,0,"INC-led centre-left rights-based welfare plus 1991-lineage liberalisation continuity Singh, architect of the 1991 reform, preserved pro-market...",6,0,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/india_manmohan_singh_upa_i_2004_2009.yaml
india_singh_upa_ii_2009_2014,IND,2009-2014,2011,1,developmentalism:partially_aligned,0.5,0.500,0.500,5.31,5.31,0,"Congress-led INC+UPA 'inclusive growth' doctrine operationalised via rights-based entitlements, continuing the 2004-2009 UPA-I template under...",8,1,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/india_singh_upa_ii_2009_2014.yaml
iran_shah_pahlavi_late_era_1976_1979,IRN,1976-1979,1976-1979,4,developmentalism:aligned,1,1.000,1.000,33.40,36.96,0,"Late-Pahlavi doctrine was oil-rent-financed forced modernisation massive industrial investment, military spending, land reform continuation, a...",3,0,mechanical/derived alignment; resource doctrine explicit,movements/iran_shah_pahlavi_late_era_1976_1979.yaml
iran_khomeini_revolutionary_consolidation_1979_1989,IRN,1979-1989,1979-1989,11,developmentalism:aligned,1,1.000,1.000,19.21,36.96,0,"Founding decade of the Islamic Republic: constitution (December 1979) establishing velayat-e faqih, bank and insurance nationalisations (June...",5,0,mechanical/derived alignment; resource doctrine explicit,movements/iran_khomeini_revolutionary_consolidation_1979_1989.yaml
iran_revolution_islamic_economy_1979_present,IRN,1979-2026,1979-2026,48,developmentalism:partially_aligned,0.5,1.000,1.000,23.18,36.96,7,"Revolutionary mixed economy codified in Article 44 of the 1979 constitution: three sectors state (heavy industry, oil, banking, major infrastr...",6,2,partial developmentalism alignment; 7/48 treated years use resource-country fallback; long umbrella window; resource doctrine explicit,movements/iran_revolution_islamic_economy_1979_present.yaml
iran_rafsanjani_pragmatist_1989_1997,IRN,1989-1997,1989-1997,9,developmentalism:aligned,1,1.000,1.000,22.94,30.84,2,Economic school: pragmatist reconstruction under clerical constraint Iran's post-Iran-Iraq-War (ended August 1988) rebuilding doctrine centred...,5,0,mechanical/derived alignment; 2/9 treated years use resource-country fallback; resource doctrine explicit,movements/iran_rafsanjani_pragmatist_1989_1997.yaml
iran_khatami_reformist_1997_2005,IRN,1997-2005,1997-2005,9,developmentalism:partially_aligned,0.5,1.000,1.000,24.19,34.48,0,"Economic school: reformist liberalisation under conservative institutional resistance attempted re-opening to FDI, privatisation under Article...",5,0,partial developmentalism alignment; mechanical/derived alignment; resource doctrine explicit,movements/iran_khatami_reformist_1997_2005.yaml
iran_ahmadinejad_principlist_2005_2013,IRN,2005-2013,2005-2013,9,developmentalism:partially_aligned,0.5,1.000,1.000,27.42,34.78,0,Populist oil-redistribution and subsidy-reform cash-transfer programme executed amid escalating nuclear-sanctions crisis. Economic school: pop...,4,2,partial developmentalism alignment; resource doctrine explicit,movements/iran_ahmadinejad_principlist_2005_2013.yaml
iran_rouhani_moderate_2013_2021,IRN,2013-2021,2013-2021,9,developmentalism:partially_aligned,0.5,1.000,1.000,23.49,34.24,0,"Moderate-reformist JCPOA sanctions-relief gambit inside the clerical-theocratic system: technocratic macroeconomic stabilisation, nuclear-dipl...",4,2,partial developmentalism alignment; resource doctrine explicit,movements/iran_rouhani_moderate_2013_2021.yaml
iran_raisi_conservative_2021_2024,IRN,2021-2024,2021-2024,4,developmentalism:partially_aligned,0.5,1.000,1.000,30.45,30.45,3,"Principlist-conservative resistance-economy doctrine: sanctions-endurance macroeconomics, BRICS-Eurasia pivot, domestic protest suppression, a...",5,2,partial developmentalism alignment; 3/4 treated years use resource-country fallback; resource doctrine explicit,movements/iran_raisi_conservative_2021_2024.yaml
iran_pezeshkian_reformist_2024_present,IRN,2024-2026,2024-2026,3,developmentalism:partially_aligned,0.5,1.000,1.000,,,3,"Reformist-aligned fiscal reformism constrained by Supreme-Leader institutions: nuclear-talks reopening attempt, subsidy-reform gradualism unde...",4,2,partial developmentalism alignment; 3/3 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/iran_pezeshkian_reformist_2024_present.yaml
iraq_baath_oil_statism_1968_1979,IRQ,1968-1979,1968-1979,12,developmentalism:aligned,1,1.000,1.000,39.77,62.51,3,"The Iraqi Ba'ath regime that took power in 1968 built a centralised Arab socialist state around oil sovereignty, land reform, public-sector in...",3,0,3/12 treated years use resource-country fallback; resource doctrine explicit,movements/iraq_baath_oil_statism_1968_1979.yaml
kazakhstan_nazarbayev_resource_state_1991_2019,KAZ,1991-2019,1991-1997;1999-2019,28,developmentalism:partially_aligned,0.5,0.500,0.500,18.32,33.25,0,"Post-Soviet presidential resource-state model combining rapid sovereignty consolidation, foreign-capital opening in oil and minerals, selectiv...",3,0,partial developmentalism alignment; long umbrella window; resource doctrine explicit,movements/kazakhstan_nazarbayev_resource_state_1991_2019.yaml
kenya_moi_kanu_1978_2002,KEN,1978-2002,1982;1991-1996,7,developmentalism:partially_aligned,0.5,0.500,0.500,6.03,7.29,0,"Moi's KANU era (August 1978 - December 2002) dominated Kenya for 24 years, evolving through four phases: (i) 1978-82 'fuata nyayo' (follow in...",5,0,partial developmentalism alignment; mechanical/derived alignment; long umbrella window; resource link mainly WDI-threshold driven,movements/kenya_moi_kanu_1978_2002.yaml
kenya_kibaki_narc_first_2002_2007,KEN,2002-2007,2003,1,developmentalism:aligned,1,1.000,1.000,5.09,5.09,0,"Economic school: liberal-market growth agenda post-Moi KANU dismantling, free primary education, anti-corruption rhetoric, East African Commun...",5,0,mechanical/derived alignment; resource link mainly WDI-threshold driven,movements/kenya_kibaki_narc_first_2002_2007.yaml
kenya_kibaki_vision_2030_2002_2013,KEN,2002-2013,2003,1,developmentalism:partially_aligned,0.5,1.000,1.000,5.09,5.09,0,"The 2002 NARC victory ended 24 years of KANU rule and initiated the Economic Recovery Strategy for Wealth and Employment Creation (2003-2007),...",5,1,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/kenya_kibaki_vision_2030_2002_2013.yaml
kuwait_oil_welfare_state_1961_present,KWT,1961-2026,1961-2026,66,developmentalism:partially_aligned,0.5,0.500,0.500,43.46,71.17,16,"Kuwait's post-independence governing regime converted oil rents into a citizen welfare state, public employment compact, and large sovereign w...",3,0,partial developmentalism alignment; 16/66 treated years use resource-country fallback; long umbrella window; resource doctrine explicit,movements/kuwait_oil_welfare_state_1961_present.yaml
lao_lao_pdr_socialist_planning_1975,LAO,1975-1986,1975-1983,9,developmentalism:partially_aligned,0.5,0.500,0.500,,,9,"After the 1975 proclamation of the Lao People's Democratic Republic, the LPRP sought to consolidate one-party socialist rule, nationalise or c...",3,0,partial developmentalism alignment; 9/9 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/lao_lao_pdr_socialist_planning_1975.yaml
morocco_hassan_ii_monarchy_mixed_economy_1956_1999,MAR,1956-1999,1974-1975;1977,3,developmentalism:partially_aligned,0.5,0.500,0.500,8.53,10.46,0,"Morocco's post-independence governing model kept the monarchy as the central arbiter over administration, land, investment, and political comp...",3,0,partial developmentalism alignment; long umbrella window; resource link mainly WDI-threshold driven,movements/morocco_hassan_ii_monarchy_mixed_economy_1956_1999.yaml
mexico_lopez_portillo_pri_1976_1982,MEX,1976-1982,1979-1981,3,developmentalism:aligned,1,1.000,1.000,9.44,10.69,0,Statist-developmentalist PRI programme dominated by the Cantarell oil discovery and its subsequent fiscal mismanagement. Four phases: (1) 1976...,5,2,resource doctrine explicit,movements/mexico_lopez_portillo_pri_1976_1982.yaml
mmr_burmese_way_to_socialism_1962,MMR,1962-1988,1962-1988,27,developmentalism:partially_aligned,0.5,0.500,0.500,29.14,69.23,8,"The Revolutionary Council and later the Burma Socialist Programme Party sought to build a self-reliant socialist state after the 1962 coup, co...",3,0,partial developmentalism alignment; 8/27 treated years use resource-country fallback; long umbrella window; resource link mainly WDI-threshold driven,movements/mmr_burmese_way_to_socialism_1962.yaml
malaysia_hussein_onn_1976_1981,MYS,1976-1981,1976-1981,6,developmentalism:aligned,1,1.000,1.000,31.63,38.58,0,Hussein Onn UMNO-led Barisan Nasional caretaker consolidation of the New Economic Policy (NEP 1971-1990) agenda after Tun Razak's death in Jan...,5,0,resource doctrine explicit,movements/malaysia_hussein_onn_1976_1981.yaml
malaysia_mahathir_first_term_1981_1988,MYS,1981-1988,1981-1988,8,developmentalism:aligned,1,1.000,1.000,25.99,31.20,0,Mahathir Look East Policy + heavy-industrial drive first phase of the long 1981-2003 era. Economic school: ethno-developmentalist state-led he...,6,0,resource doctrine explicit,movements/malaysia_mahathir_first_term_1981_1988.yaml
malaysia_mahathir_bumiputera_development_1981_2003,MYS,1981-2003,1981-2003,23,developmentalism:aligned,1,1.000,1.000,19.14,31.20,0,Heterodox East-Asian developmentalism layered on top of the 1971 New Economic Policy (NEP) affirmative-action framework favouring the Malay-ma...,5,2,resource link mainly WDI-threshold driven,movements/malaysia_mahathir_bumiputera_development_1981_2003.yaml
malaysia_mahathir_wawasan_2020_era_1991_1998,MYS,1991-1998,1991-1998,8,developmentalism:aligned,1,1.000,1.000,15.22,21.27,0,"Mahathir Wawasan 2020 (Vision 2020) doctrine announced 28 Feb 1991 fully-developed-nation status by 2020 via manufacturing-export-led growth,...",5,0,resource link mainly WDI-threshold driven,movements/malaysia_mahathir_wawasan_2020_era_1991_1998.yaml
