position_id	claim_index	linked_hypothesis_id	school_prediction	current_polarity	heuristic_guess	school_claim	hypothesis_claim
austrian	14	milei_reforms_reduce_argentine_inflation	supported	aligned	uncertain	Milei's fiscal-first stabilisation produces monthly Argentine CPI inflation below 5% m/m within 12 months and below 3% m/m within 18 months of inauguration, faster than any prior non-dollarisation LatAm stabilisation, vindicating the Austrian fiscal-dominance-removal reading of disinflation.	Argentine monthly CPI inflation declines from its late-2023 peak (around 25% month-on-month in December 2023 following the 54% peso devaluation) to below 5% month-on-month within 12 months of Milei's December 2023 inauguration, and below 3% month-on- month within 18 months. The decline is faster and deeper than in any prior Argentine stabilisation episode since the 1989-1991 Austral/Convertibility period (Menem), and faster than in any of the Latin American stabilisation episodes in the IMF's post- 1990 catalogue that did not adopt dollarisation, controlling for initial inflation level. The pre-registered primary outcome is monthly CPI inflation as published by INDEC. 
austrian	15	maduro_era_venezuelan_collapse_decomposition_2013_2023	supported	aligned	aligned_guess	The 2013-2023 Maduro-era Venezuelan cumulative >70% output collapse is predominantly driven by domestic monetary-fiscal fusion and political-destabilisation channels rather than by the exogenous oil shock or US sanctions alone; the institutional channel is load-bearing.	The cumulative Venezuelan real-GDP contraction over the 2013- 2023 Maduro era (>70% peak-to-trough from the 2013 peak) is decomposed into four channels: (a) the exogenous 2014-2016 oil price shock, (b) the 2013-2019 monetary-fiscal-fusion channel culminating in the 2017-2019 Cagan-threshold hyperinflation, (c) the post-2015 US sanctions escalation (SDN 2017, PDVSA designation January 2019, secondary sanctions on tanker operators 2019-2020), and (d) post-2017 political destabilisation (2017 constitutional crisis, 2019 Guaidó parallel-government episode, 2024 election dispute). The pre-registered claim is that channels (b) and (d) — the domestic monetary-fiscal-fusion and political-destabilisation channels — together account for a larger share of the cumulative loss than channels (a) + (c) — the exogenous oil-shock and sanctions channels — combined. A falsification would indicate the collapse is more exogenously driven than the framework's institutional-policy coding implies. 
austrian	16	milei_shock_therapy_output_recovery_trajectory	supported	aligned	aligned_guess	Argentine real GDP under Milei shock-therapy recovers faster than the LatAm peer average after the initial 2024H1 contraction, consistent with Austrian claim that post-stabilisation recoveries are front-loaded once fiscal-dominance distortion is removed.	Argentine quarterly real GDP, having contracted in 2024H1 under the Milei stabilisation shock, recovers along a trajectory that by Q4 2025 closes at least 50% of the peak-to-trough output gap observed during the shock's worst quarter, and by Q4 2026 returns to or exceeds the pre-Milei (Q4 2023) real-GDP level. The trajectory is faster than the LatAm peer donor pool (Brazil, Chile, Colombia, Peru, Mexico, Uruguay) weighted average for an equivalent shock absorbed without reform content. The hypothesis is consistent with the Austrian / monetarist reading that post- stabilisation recoveries are front-loaded once the fiscal- dominance distortion is removed and with empirical findings on sharp-stabilisation recovery patterns (e.g., Peru 1990-1993, Bolivia 1985-1989). 
austrian	17	nordic_outcome_persistence_decomposition_v2	mixed	aligned	uncertain	The v1 decomposition (three channels: WGI gov effectiveness, WGI rule of law, IMF debt/GDP) left 98% of the Nordic-vs-Southern-Europe log GDP/capita gap unexplained	The v1 decomposition (three channels: WGI gov effectiveness, WGI rule of law, IMF debt/GDP) left 98% of the Nordic-vs-Southern-Europe log GDP/capita gap unexplained. v2 tests whether that residual is substantially explained by five additional cross-sectionally-measured channels that discriminate Nordic from Southern European economies over 1996-2023: control of corruption, regulatory quality, fiscal net lending (surplus vs deficit flow), current account balance, and trade openness. The v2 hypothesis predicts that expanding the channel set absorbs most of the v1 residual on the primary outcome. 
austrian	18	nordic_outcome_persistence_decomposition_v3	mixed	aligned	uncertain	Countries that enacted market-oriented structural reforms with credible institutional commitment (Norway handlingsregel 2001, Sweden pension- architecture reform 1999) experienced systematically better post-treatment ...	Countries that enacted market-oriented structural reforms with credible institutional commitment (Norway handlingsregel 2001, Sweden pension- architecture reform 1999) experienced systematically better post-treatment GDP-per-capita and unemployment trajectories than their own pre-treatment trends would have predicted. Countries that entered the euro area without corresponding structural adjustment (Italy 1999, Greece 2001) experienced systematically worse post-treatment trajectories. The v3 hypothesis predicts a positive within-country effect for the reform group and a negative within-country effect for the fiscal-dominance group, identified off their own pre-treatment baselines via country and year fixed effects. This directly addresses the v1/v2 structural limitation: cross-sectional decomposition cannot see timing, but within-country DiD can. 
austrian	19	bukele_mass_incarceration_homicide_impact_2019_2024	supported	aligned	aligned_guess	El Salvador's ~98% homicide-rate decline from 103/100k (2015) to 2.4/100k (2023) — with the sharpest decline occurring after the Mar 2022 régimen de excepción and the Jan 2023 CECOT opening — is causally attributable ...	El Salvador's ~98% homicide-rate decline from 103/100k (2015) to 2.4/100k (2023) — with the sharpest decline occurring after the Mar 2022 régimen de excepción and the Jan 2023 CECOT opening — is causally attributable in material part to the Bukele-era mass-incarceration regime (régimen de excepción + Plan Control Territorial + CECOT). The pre-registered claim is that under a synthetic-control design using Central American and Andean peer countries (HND, GTM, NIC, HND, CRI, DOM, COL, ECU, VEN) as donor pool, SLV's post-treatment homicide-rate gap versus its synthetic counterfactual is negative and large (> 50% of observed decline) with permutation inference p-value < 0.05. The hypothesis must also address the pre-existing gang-truce confound (2012-2014 FMLN-era truce + alleged 2019-2022 undisclosed Bukele-administration truce per El Faro reporting) and the demographic factor (mara-age-cohort shrinking). An alternative channel (negotiated truce) must be tested via leaked-message-dated structural-break analysis around the Mar 26-30 2022 massacre that triggered the régimen. 
austrian	20	venezuela_chavismo_canonical_case_multi_metric	supported	aligned	uncertain	Venezuela's post-1999 socialist policy regime (Chávez 1999-2013 + Maduro 2013-present, characterised by FX controls, price controls, mass nationalisations, PDVSA politicisation, and 2014+ monetary financing of fiscal ...	Venezuela's post-1999 socialist policy regime (Chávez 1999-2013 + Maduro 2013-present, characterised by FX controls, price controls, mass nationalisations, PDVSA politicisation, and 2014+ monetary financing of fiscal deficits) produced a canonical institutional and economic collapse that manifests as ≥7 of 10 pre-registered extreme-outcome metrics, each drawn from an independent data source and measuring a different causal layer. The canonical-case claim is that no non-war peacetime economy in the 2000-2024 window matches even 4 of these 10 thresholds simultaneously; Venezuela matches most. A refutation (≤3 metrics met) would indicate the framework's institutional-quality coding is overstated, or that Venezuela's collapse has been substantially exaggerated in the consensus record. 
austrian	21	resource_rent_capture_outperforms_laissez_faire	falsified	aligned	uncertain	Across resource-rich economies with meaningful extractive sectors, countries that capture a high share of resource rents through sovereign-wealth-fund mechanisms, royalties, resource-specific taxes, or state-share equ...	Across resource-rich economies with meaningful extractive sectors, countries that capture a high share of resource rents through sovereign-wealth-fund mechanisms, royalties, resource-specific taxes, or state-share equity (the "rent-capture" regime, anchored by Norway and Botswana) deliver better long-run welfare outcomes — GDP per capita PPP, life expectancy, gini disposable income, public-service quality — than comparable resource-rich economies that run a laissez-faire regime where rents are predominantly retained by private extractive firms (anchored by Australia LNG, pre-SWF Alaska oil, pre-reform Chilean copper). The comparison is conditional on per-capita-resource-endowment and institutional-quality controls, so that the hypothesis does not conflate rent-capture-policy with being small-and-lucky. The quantitative claim is that a 10-percentage- point higher rent-capture share is associated with at least a 5% higher long-run GDP per capita PPP and non-negative effects on the distribution and public-service outcomes, all controlling for the per-capita-resource-endowment variable. 
austrian	22	bukele_fiscal_trajectory_tax_cuts_imf_2019_2024	supported	aligned	aligned_guess	El Salvador's fiscal trajectory under Bukele (2019-2024) shows improvement in the primary balance and stabilisation (or modest decline) in debt-to-GDP after the 2020 COVID spike, achieved via a combination of: (a) the...	El Salvador's fiscal trajectory under Bukele (2019-2024) shows improvement in the primary balance and stabilisation (or modest decline) in debt-to-GDP after the 2020 COVID spike, achieved via a combination of: (a) the 2022-2023 bond buyback / liability-management operations, (b) the 2023 tax reform (lower rates with base-broadening and improved compliance), and (c) IMF-signalled fiscal consolidation culminating in the Dec 2024 $1.4bn Extended Fund Facility. The pre-registered claim is that under a panel decomposition framework, Salvadoran primary balance improvement 2022-2024 exceeds the Central American peer-group average by at least 1.5 percentage points of GDP, and that the dominant channel is spending compression + debt-service reduction via liability management, not a revenue-side tax-rise (i.e., the Laffer-style lower-rate / broader-base conjecture). 
austrian	23	universal_transfer_programmes_labour_force_participation_decline	supported	aligned	uncertain	Large-scale universal or near-universal transfer programmes produce a three-order causal chain	Large-scale universal or near-universal transfer programmes produce a three-order causal chain. FIRST-ORDER: poverty headcounts, food-insecurity rates, and material deprivation metrics drop materially in the initial 1-3 years post-rollout. This is a real welfare gain for recipient households and an acknowledged policy success on its own terms. SECOND-ORDER: labour-force participation among working-age able-bodied individuals in the bottom deciles declines relative to peer cohorts and pre-programme trends, particularly where transfer tapering and interaction with other benefits produce high effective marginal tax rates; formal-sector hours worked contract. THIRD-ORDER: tax-base contraction relative to pre-programme trajectory, entrenched fiscal dependency on continued transfer expansion, and stagnation of human-capital accumulation among long-tenure recipients (weaker work-history signal for future employers, lower on-the-job skill formation). Cases: Argentina Planes Trabajar / Argentina Trabaja / Potenciar Trabajo; Spain Ingreso Mínimo Vital 2020; UK tax credits expansion 1999-2010 and Universal Credit; Venezuela CLAP food-box programme; US 2021 expanded Child Tax Credit. 
austrian	24	wealth_tax_capital_flight_revenue_yield_gap	supported	aligned	uncertain	Wealth taxes produce a three-order causal chain	Wealth taxes produce a three-order causal chain. FIRST-ORDER: a new tax instrument is legislated and administered, generating measurable initial revenue — this is a genuine policy success on its own terms and we acknowledge the tax does collect money from wealthy residents in the first year. SECOND-ORDER: wealth-holder migration accelerates (France ISF 2012 outflows, Norway 2022 emigration spike, Colombia 2022-2023 outflow), along with portfolio reshuffling toward exempt or undervalued assets, under-reporting, and family-office restructuring. THIRD-ORDER: realised revenue trajectory falls systematically below legislator forecasts, pressure mounts on the remaining (less-mobile) tax base, and the distributional burden shifts toward non-emigrating upper-middle-class holders of illiquid wealth. Cases: France ISF/IFI 1982-2017 + 2018 reform, Norway 2022 wealth-tax hike, Colombia impuesto al patrimonio 2022, Spain impuesto a las grandes fortunas 2022. 
austrian	25	state_size_reduces_household_income_growth	supported	aligned	uncertain	Across the OECD 38, over 2000-latest, larger general government final consumption as a share of GDP is associated with slower growth in real household disposable income per capita, controlling for demographics, initia...	Across the OECD 38, over 2000-latest, larger general government final consumption as a share of GDP is associated with slower growth in real household disposable income per capita, controlling for demographics, initial-income level, energy-price exposure, and trade openness. The quantitative claim is that a 1-percentage-point higher share of general government consumption in GDP is associated with roughly 0.05 to 0.20 percentage points lower annual growth in real household income per capita, conditional on controls, with the relationship holding across (a) pooled cross-section, (b) two-way fixed-effects panel, and (c) synthetic-control event studies around Milei 2023 Argentina, Thatcher 1979 UK, Chávez 1999 Venezuela, and Balcerowicz 1990 Poland — four pre-registered policy pivots spanning the state-shrinks and state-grows directions. The hypothesis is an empirical test of a "state size effect on household income," pre-registering the sign, magnitude, and triangulation strategy so that a null or reversed finding forces a corresponding update on the market-liberal prior. 
austrian	26	eu_post_2021_gas_shock_industrial_output_impact	supported	aligned	inverted_guess	The natural-gas price shock that began in late 2021 and intensified after the Russian invasion of Ukraine in February 2022 produced a measurable differential contraction of EU industrial output relative to US, UK, and...	The natural-gas price shock that began in late 2021 and intensified after the Russian invasion of Ukraine in February 2022 produced a measurable differential contraction of EU industrial output relative to US, UK, and non-EU Asian comparators over 2021-2024. The EU's reliance on gas-indexed wholesale electricity markets, its lower domestic gas production relative to the US shale base, and its deeper pipeline-gas dependence made the industrial-output pass-through of the gas shock materially larger than in peer economies. Energy- intensive EU subsectors (chemicals, fertilisers, basic metals, glass, ceramics) contracted faster than US and non-EU counterparts between 2021Q4 and 2024Q4, and a portion of the reduction is persistent rather than cyclical (plant mothballing, capacity re-siting abroad). 
austrian	27	green_transition_cost_trajectory_electricity_prices	supported	aligned	inverted_guess	Countries with aggressive green-transition regulatory stringency layered on top of gas-indexed wholesale electricity markets and premature phase-out of firm-dispatchable generation (Germany, UK, Belgium, Netherlands) ...	Countries with aggressive green-transition regulatory stringency layered on top of gas-indexed wholesale electricity markets and premature phase-out of firm-dispatchable generation (Germany, UK, Belgium, Netherlands) have experienced materially higher industrial electricity prices 2015-2023 than comparable economies with more measured transition paths (France's nuclear retention, Nordic hydro, USA's shale-gas-backed grid). The price gap is measurably associated with manufacturing-sector output divergence, with energy-intensive sectors (chemicals, metals, cement) relocating or contracting in high-price destinations. This operationalises the user's "green policy degrowth numbers" framing at the sector level rather than as a political slogan. 
austrian	28	nuclear_phaseout_energy_cost_industry_exit	supported	aligned	uncertain	Policy-driven nuclear phaseouts produce a three-order causal chain	Policy-driven nuclear phaseouts produce a three-order causal chain. FIRST-ORDER: the policy delivers on the green-ambition narrative — reactors are closed, nuclear-dependency ends, and the political commitment is honoured. This first-order success is real and we acknowledge it on its own terms. SECOND-ORDER: wholesale and industrial electricity prices rise (gas-fired generation fills the dispatchable gap), grid reliability metrics weaken, and carbon- intensity of power generation rises in the transition window. THIRD-ORDER: energy-intensive industry (chemicals, steel, aluminium) reduces capacity or relocates out of the jurisdiction — BASF Ludwigshafen contraction, ArcelorMittal and Salzgitter steel curtailments, aluminium smelter closures in Germany, Belgium, and Netherlands. Investment and FDI flows in energy-intensive sectors redirect abroad. Cases: Germany Atomausstieg 2011-2023, Belgium nuclear phaseout schedule (now partly reversed), Germany Kohleausstieg interaction. 
austrian	29	nuclear_phaseout_grid_reliability_cost_tradeoff	supported	aligned	uncertain	Countries that legislated and executed nuclear phase-outs (Germany 2011-2023, Belgium 2003 law with 2025-2035 phase-out, Switzerland 2017 vote) experienced over 2010-2024 (a) higher industrial electricity prices, (b) ...	Countries that legislated and executed nuclear phase-outs (Germany 2011-2023, Belgium 2003 law with 2025-2035 phase-out, Switzerland 2017 vote) experienced over 2010-2024 (a) higher industrial electricity prices, (b) higher wholesale electricity price volatility, and (c) greater reliance on fossil-fired back-up capacity for grid balancing, relative to nuclear-retaining peers (France, Finland post-2023 Olkiluoto 3, Sweden, USA). The hypothesis tests the narrow cost-reliability trade-off of nuclear phase-out as a policy choice. It does NOT evaluate the safety or waste-management argument for phase-out — those are outside the outcome set and are legitimate welfare considerations the phase-out countries weighed in their decisions. 
austrian	30	housing_cost_driven_real_wage_divergence	supported	aligned	uncertain	Within Anglo-liberal economies (UK, US, Australia) over 1995-2020, housing-supply-restricted high-opportunity metro areas exhibit real-wage-net-of-housing-cost trajectories that diverge substantially from their headli...	Within Anglo-liberal economies (UK, US, Australia) over 1995-2020, housing-supply-restricted high-opportunity metro areas exhibit real-wage-net-of-housing-cost trajectories that diverge substantially from their headline real-wage trajectories, such that the standard "real wage stagnation" story for these metros is amplified (larger stagnation) when housing costs are properly netted out, while housing-supply-elastic metros show the opposite pattern — headline real-wage stagnation looks less severe after housing is netted. The specific claim is that the cross-metro divergence in housing supply elasticity (Hilber-Vermeulen for UK, Saiz for US, Kendall- Tulip for Australia) is a first-order driver of cross-metro differences in welfare-relevant real wage growth, and that national aggregate real-wage series systematically understate welfare losses in supply-restricted metros while overstating them in supply-elastic metros. A clean supported finding would show that the supply- elasticity coefficient on net-of-housing real wage growth is statistically significant and quantitatively large (at least 20% of cross-metro variance in welfare-adjusted real wage trajectories). 
austrian	31	intergenerational_mobility_cross_country	mixed	aligned	inverted_guess	Cross-country variation in intergenerational income mobility (commonly measured as the rank-rank slope or intergenerational income elasticity) across OECD countries is substantially explained by institutional determin...	Cross-country variation in intergenerational income mobility (commonly measured as the rank-rank slope or intergenerational income elasticity) across OECD countries is substantially explained by institutional determinants — education-system equality of provision, residential segregation, and housing affordability — rather than by the aggregate redistribution level. Specifically: countries with more equal public education spending across school districts, lower residential income segregation, and more affordable housing in high-opportunity regions should show higher mobility after controlling for GDP per capita, the level of disposable-income Gini, and institutional quality. The claim aligns with the Chetty-Hendren-Kline-Saez opportunity-atlas finding that mobility is generated by place-based mechanisms more than by transfer-based redistribution, and generalises it cross-country. 
austrian	32	lula_bolsa_familia_poverty_reduction_decomposition_2003_2010	falsified	aligned	aligned_guess	Brazil's substantial 2003-2010 poverty reduction (extreme poverty headcount fell from ~10% to ~4% and Gini coefficient from ~0.58 to ~0.53 per PNAD/IPEA series) is decomposed across three channels: (a) Bolsa Família c...	Brazil's substantial 2003-2010 poverty reduction (extreme poverty headcount fell from ~10% to ~4% and Gini coefficient from ~0.58 to ~0.53 per PNAD/IPEA series) is decomposed across three channels: (a) Bolsa Família cash-transfer expansion (Lei 10,836 of January 2004 consolidating prior CCTs, reaching ~13 million families by 2010), (b) real minimum-wage valorisation (real minimum wage rose over 50% 2003-2010, pulling up the bottom of the formal wage distribution and indexed social transfers including BPC), and (c) the 2003-2008 commodity boom (export revenue surge, formal-employment growth, wage-bargaining leverage from tight labour markets). The pre-registered claim is that channels (a) and (b) — the policy channels — jointly account for at least 40% of the total observed reduction in extreme-poverty headcount AND at least 30% of the Gini decline, after controlling for the commodity boom channel via an oil-exporter LatAm donor pool (Mexico, Colombia, Peru). 
austrian	33	germany_decline_2018_2025_regulatory_not_fiscal	supported	aligned	inverted_guess	German industrial gross value added, manufacturing output, and real household income diverged materially from a synthetic-Germany donor- pool counterfactual over 2018-2025, and a variance decomposition across candidat...	German industrial gross value added, manufacturing output, and real household income diverged materially from a synthetic-Germany donor- pool counterfactual over 2018-2025, and a variance decomposition across candidate channels attributes the majority of the divergence to regulatory-channel factors (Environmental Policy Stringency index increase post-2017, nuclear-phase-out schedule, single-supplier Russian gas dependency lock-in, industrial emission and reporting rules) rather than to fiscal-channel factors (general government consumption and tax burden were broadly stable across the Merkel late-term and Scholz years, with the debt brake in effect until 2023). The hypothesis is a companion to the Energiewende electricity-price hypothesis but tests the broader claim that the observed German industrial decline over this window is a regulatory/energy-policy story, not a fiscal-policy story, and a null (fiscal channel dominates) would meaningfully restructure the framework's reading of the German case. 
austrian	34	precautionary_regulation_innovation_productivity_gap_eu_us	supported	aligned	uncertain	Precautionary-principle-based regulation in the EU produces a three-order causal chain relative to the US regulatory baseline	Precautionary-principle-based regulation in the EU produces a three-order causal chain relative to the US regulatory baseline. FIRST-ORDER: environmental, privacy, consumer-safety, and pharma- safety protections are codified and (largely) enforced — citizens receive measurable protection from harms targeted by each regulation (REACH substances registered; GDPR breach notifications required; AI Act high-risk systems audited; EMA pharma-safety signals maintained). This is an acknowledged policy success for citizens. SECOND-ORDER: compliance costs rise, especially for small and medium firms; EU single-market fragmentation persists because member states transpose differentially; product-launch timing in the EU lags the US. THIRD-ORDER: R&D investment and firm formation relocate (pharmaceutical product launches in US then EU; AI and biotech unicorn formation; venture funding per capita gap); EU-US productivity and per-capita income gap widens. Cases: GDPR 2018, REACH 2007-2018, AI Act 2024, EMA vs FDA drug approval timing, Digital Markets Act / Digital Services Act 2022- 2024. 
