row_id	llm_score	llm_verdict	llm_reason
20	3	match	Claim on statutory CBI (Bundesbank, BoE 1997, RBNZ 1989) producing lower inflation matches hypothesis on CBI-inflation panel 1990-2023.
21	3	match	Hypothesis text is verbatim identical to Phillips curve natural-rate claim — tautological match.
22	3	match	Hypothesis text is verbatim identical to Friedman-Schwartz Great Depression monetary cause claim — tautological match.
23	3	match	Claim on post-2008 QE CPI non-response via money-multiplier collapse matches hypothesis on asset-CPI divergence at ZLB precisely.
24	3	match	Hypothesis text is verbatim identical to Pinochet-era Chile Chicago Boys monetary stabilisation claim — tautological match.
25	3	match	Hypothesis text is verbatim identical to deregulation TFP gains claim covering same episodes — tautological match.
26	3	match	Claim on China post-1978, India 1991, and Mexico NAFTA trade liberalisation growth matches hypothesis canonical cases (China WTO, India 1991, Mexico included) on same outcome.
27	3	match	Hypothesis text is verbatim identical to Reagan 1981-1986 tax cuts labour supply and output growth claim — tautological match.
28	2	partial	Claim references Friedman 1946 rent control prediction but names same three cities (SF, Berlin, Stockholm) hypothesis tests 2000-2023 — era framing narrower but substance aligned.
29	3	match	Hypothesis text is verbatim identical to minimum wage disemployment at high bite ratio claim — tautological match.
30	3	match	Claim on Zimbabwe 2000-2008 hyperinflation as fiscal-dominance case matches hypothesis canonical Zimbabwe inclusion precisely.
31	3	match	Claim on Milei 2023-2025 stabilisation producing rapid disinflation matches hypothesis monthly CPI thresholds on Argentina 2018-2027.
32	1	tangential	Claim references Volcker-template output recovery; hypothesis tests Argentine GDP recovery trajectory — Volcker not in hypothesis, outcome closer to GDP than CPI template.
33	2	partial	Claim on output growth following liberalisation reforms is broad; hypothesis on US-EU GDP divergence from policy channels is narrower and specific — related but generality gap.
34	3	match	Claim on rent control producing shortages/misallocation matches hypothesis on binding rent control reducing supply and quality precisely.
35	3	match	Claim on property-rights/rule-of-law indices predicting income and growth matches hypothesis on WGI rule-of-law and per-capita growth 1996-2023.
36	3	match	Hypothesis text is verbatim identical to economic-freedom-income correlation claim — tautological match.
37	3	match	Claim on trade liberalisation episodes including China 1978, India 1991, NZ Rogernomics matches hypothesis canonical cases on same outcome — EU single market not in hypothesis but core match holds.
38	3	match	Hypothesis text is verbatim identical to Thatcher-era UK privatisations productivity/price claim — tautological match.
39	3	match	Hypothesis text is verbatim identical to NZ Rogernomics 1984-1993 productivity claim — tautological match.
40	3	match	Hypothesis text is verbatim identical to Deng 1978 reform price-signals poverty reduction claim — tautological match.
41	3	match	Hypothesis text is verbatim identical to Mitterrand 1981-1983 nationalisation productivity claim — tautological match.
42	3	match	Hypothesis text is verbatim identical to Reagan 1981-1986 tax cut labour supply claim — tautological match.
43	2	partial	Claim pairs Nixon 1971-1974 and Chavismo price controls; hypothesis covers Chavismo and USSR but Nixon-era is absent (US 1973-1981 petroleum close but not Nixon-named) — partial entity overlap.
44	3	match	Hypothesis text is verbatim identical to US occupational licensing state-level mobility/productivity claim — tautological match.
45	3	match	Hypothesis text is verbatim identical to UK 1947 Planning Act restrictive-zoning housing supply claim — tautological match.
46	3	match	Hypothesis text is verbatim identical to Clinton 1996 welfare reform labour participation claim — tautological match.
47	3	match	Claim on EU regulatory burden (REACH, GDPR, AI Act, CSRD) producing productivity drag matches hypothesis on EU regulatory stack productivity drag vs US 2015-2023 — REACH pre-2015 outside period but substance aligned.
48	2	partial	Claim asserts energy-cost is the primary driver of US-EU gap; hypothesis lists energy as one of five policy channels — related but reversing-emphasis within the same framework.
49	3	match	Hypothesis text is verbatim identical to global absolute-decoupling claim on consumption-based accounting — tautological match.
